Math_Interest,Physics_Interest,Chemistry_Interest,Biology_Interest,English_Interest,GPA,Coding_Skill,Problem_Solving,Data_Analysis,Web_Development,AI_Interest,Communication,Leadership,Teamwork,Public_Speaking,Creativity,Analytical_Thinking,Attention_To_Detail,Stress_Handling,Research_Interest,Social_Service_Interest,Cybersecurity_Interest,Blockchain_Interest,Cloud_Computing,DevOps_Interest,Mobile_Development,UI_UX_Design,Product_Management,Digital_Marketing,Testing_QA,Database_Management,Recommended_Career
2.0,5.0,5.0,4.0,4.0,7.9,8.041117399171002,9.878450301307273,3.0,6.81513763645474,4.0,6.0,5.0,5.0,5.0,5.0,4.0,2.0,6.0,4.0,4.0,3.0,2.0,6.0,5.0,5.0,4.0,6.0,4.0,4.0,6.950074089013747,Software Engineer
3.0,5.0,3.0,2.0,6.0,6.5,8.159843523037472,8.17551878430876,5.0,7.743254171203442,2.0,3.0,4.0,4.0,2.0,4.0,2.0,5.0,5.0,6.0,5.0,3.0,6.0,4.0,3.0,6.0,3.0,2.0,4.0,5.0,7.650592787824701,Software Engineer
2.0,6.0,5.0,5.0,2.0,8.0,8.724857748773315,10.0,4.0,7.968278354591481,6.0,3.0,6.0,3.0,3.0,5.0,5.0,2.0,6.0,2.0,6.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,6.1341688843067566,Software Engineer
4.0,6.0,4.0,2.0,5.0,8.3,8.572747353663466,9.158539691076713,4.0,6.690653460279762,4.0,5.0,3.0,5.0,2.0,3.0,4.0,6.0,3.0,3.0,4.0,6.0,6.0,2.0,3.0,6.0,2.0,6.0,3.0,6.0,7.625590393967337,Software Engineer
4.0,6.0,3.0,2.0,3.0,6.4,8.002753172398519,9.399774226723437,5.0,6.62183744596061,5.0,4.0,5.0,2.0,6.0,4.0,6.0,2.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,6.094520944639939,Software Engineer
2.0,5.0,6.0,3.0,5.0,7.5,9.021852145523443,10.0,4.0,5.976502507378135,3.0,2.0,2.0,4.0,6.0,2.0,4.0,5.0,3.0,5.0,3.0,6.0,4.0,4.0,2.0,4.0,6.0,2.0,5.0,4.0,6.760644372526976,Software Engineer
5.0,4.0,5.0,2.0,2.0,6.3,10.0,10.0,5.0,6.010461879968136,5.0,2.0,2.0,4.0,5.0,2.0,3.0,6.0,6.0,4.0,4.0,3.0,5.0,4.0,3.0,2.0,2.0,6.0,4.0,4.0,7.414409433275996,Software Engineer
5.0,4.0,4.0,6.0,3.0,8.7,9.982739511023057,8.500704401460847,4.0,6.0348832377676285,4.0,3.0,2.0,3.0,6.0,2.0,6.0,4.0,2.0,3.0,4.0,3.0,2.0,5.0,5.0,2.0,3.0,3.0,5.0,5.0,5.815056233582975,Software Engineer
2.0,4.0,4.0,3.0,3.0,9.1,8.881361673890117,9.285826139602543,6.0,7.219382501363857,3.0,6.0,5.0,3.0,5.0,4.0,6.0,3.0,6.0,6.0,2.0,2.0,4.0,2.0,3.0,4.0,6.0,6.0,2.0,6.0,8.306001741706824,Software Engineer
5.0,3.0,5.0,4.0,3.0,8.7,8.60539487714041,8.99487813327993,5.0,7.3375745487989334,3.0,2.0,6.0,6.0,3.0,2.0,2.0,2.0,6.0,6.0,2.0,5.0,2.0,3.0,4.0,5.0,6.0,2.0,2.0,3.0,6.836557101475488,Software Engineer
2.0,3.0,3.0,2.0,2.0,7.7,9.538115437003926,10.0,3.0,6.304057388329297,6.0,5.0,5.0,4.0,4.0,2.0,6.0,6.0,2.0,5.0,2.0,5.0,6.0,2.0,4.0,2.0,4.0,6.0,2.0,3.0,6.8454943207501,Software Engineer
3.0,4.0,2.0,4.0,4.0,8.8,6.852710970261345,8.837334079455092,2.0,6.470560572633926,2.0,5.0,4.0,2.0,6.0,2.0,4.0,2.0,6.0,5.0,6.0,4.0,4.0,5.0,5.0,6.0,2.0,5.0,2.0,3.0,5.937585588140437,Software Engineer
2.0,3.0,6.0,4.0,2.0,9.2,9.43476607446662,8.623843928769901,3.0,5.625104191630018,4.0,3.0,3.0,3.0,6.0,5.0,6.0,6.0,6.0,2.0,6.0,2.0,4.0,4.0,3.0,2.0,2.0,6.0,3.0,3.0,6.866177035483959,Software Engineer
2.0,4.0,2.0,5.0,2.0,8.0,9.385846552556501,8.236942790305232,2.0,8.191142953088866,4.0,4.0,5.0,6.0,3.0,6.0,3.0,6.0,4.0,5.0,6.0,5.0,6.0,4.0,2.0,4.0,2.0,6.0,3.0,3.0,5.8875885280165825,Software Engineer
2.0,2.0,4.0,6.0,5.0,8.2,9.2959939896871,8.62808541867871,6.0,7.327995483714109,3.0,6.0,3.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,6.0,4.0,3.0,4.0,6.0,6.0,6.0,4.0,5.243278217521418,Software Engineer
